Year,Age,Team,Games,AB,Runs,Hits,2B,3B,HR,RBI,SB,BB,SO,BA,OBP,SLG,OPS,OPS+
2011,23,ARI,48,156,28,39,9,1,8,26,4,20,53,0.25,0.333,0.474,0.808,117
2012,24,ARI,145,514,82,147,43,1,20,82,18,60,130,0.286,0.359,0.49,0.85,126
2013,25,ARI,160,602,103,182,36,3,36,125,15,99,145,0.302,0.401,0.551,0.952,160
2014,26,ARI,109,406,75,122,39,1,19,69,9,64,110,0.3,0.396,0.542,0.938,158
2015,27,ARI,159,567,103,182,38,2,33,110,21,118,151,0.321,0.435,0.57,1.005,168
2016,28,ARI,158,579,106,172,33,3,24,95,32,110,150,0.297,0.411,0.489,0.899,133
2017,29,ARI,155,558,117,166,34,3,36,120,18,94,147,0.297,0.404,0.563,0.966,142
2018,30,ARI,158,593,95,172,35,5,33,83,7,90,173,0.29,0.389,0.533,0.922,142
2019,31,STL,161,597,97,155,25,1,34,97,3,78,166,0.26,0.346,0.476,0.821,115
2020,32,STL,58,191,31,58,13,0,6,21,1,37,43,0.304,0.417,0.466,0.883,145
2021,33,STL,158,603,102,177,36,2,31,99,12,67,136,0.294,0.365,0.514,0.879,141
2022,34,STL,151,561,106,178,41,0,35,115,7,79,141,0.317,0.404,0.578,0.981,177
2023,35,STL,154,593,89,159,31,0,25,80,11,87,161,0.268,0.363,0.447,0.81,120
2024,36,STL,149,580,68,141,30,1,21,60,11,47,166,0.243,0.302,0.407,0.709,96